name,point,polyP1,polyP2,polyP3,polyP4,yaw,ancho
1,"-70.8368880667,-33.112131369975","-70.8369067149,-33.1123927078","-70.8368803076,-33.1123930972","-70.8368694186,-33.1118700321","-70.8368958257,-33.1118696428",180.99899156144244,0.00245987399767539
2,"-70.83682464647501,-33.112132305025","-70.8368324057,-33.1118705778","-70.8368432945,-33.1123936429","-70.8368168872,-33.1123940322","-70.8368059985,-33.1118709672",180.99895355539326,0.0024598786277377463
3,"-70.83687708385001,-33.1116037971","-70.8368957319,-33.111865135","-70.8368693247,-33.1118655243","-70.8368584359,-33.1113424592","-70.8368848429,-33.1113420699",180.9989789076157,0.0024598793556466787
4,"-70.836813664025,-33.111604732125","-70.8368214233,-33.1113430049","-70.8368323118,-33.11186607","-70.8368059047,-33.1118664594","-70.8367950163,-33.1113433942",180.99893188567427,0.0024598747704220464
5,"-70.8368655383,-33.111049177474996","-70.8368841861,-33.1113105154","-70.8368577791,-33.1113109047","-70.8368468906,-33.1107878396","-70.8368732974,-33.1107874502",180.99895787083508,0.0024598763528307093
6,"-70.83680211880001,-33.111050112475","-70.8368098781,-33.1107883852","-70.8368207664,-33.1113114504","-70.8367943594,-33.1113118397","-70.8367834713,-33.1107887746",180.99891528864003,0.0024598763266593495
7,"-70.836854556,-33.110521604525","-70.8368732036,-33.1107829425","-70.8368467967,-33.1107833318","-70.8368359085,-33.1102602666","-70.8368623152,-33.1102598772",180.9989361953004,0.0024598818072782015
8,"-70.836791136925,-33.1105225395","-70.8367988963,-33.1102608122","-70.8368097843,-33.1107838775","-70.8367833775,-33.1107842668","-70.8367724896,-33.1102612015",180.9988978679276,0.0024598770276297068
9,"-70.83684357405,-33.1099940315","-70.8368622214,-33.1102553695","-70.8368358147,-33.1102557588","-70.8368249268,-33.1097326935","-70.8368513333,-33.1097323042",180.998914389066,0.0024598778515446994
10,"-70.83678015535,-33.1099949665","-70.8367879148,-33.1097332392","-70.8367988025,-33.1102563045","-70.8367723958,-33.1102566938","-70.8367615083,-33.1097336285",180.9988718070058,0.0024598778253813267
11,"-70.83677220860001,-33.112660812899996","-70.8367908567,-33.1129221508","-70.8367644492,-33.1129225401","-70.8367535606,-33.112399475","-70.8367799679,-33.1123990857",180.9989486018845,0.002459877704388006
12,"-70.83670878800001,-33.1126617479","-70.8367165475,-33.1124000207","-70.8367274359,-33.1129230858","-70.8367010284,-33.1129234751","-70.8366901402,-33.11240041",180.9989060188995,0.0024598776782150207
13,"-70.83676122625,-33.11213324005","-70.8367798741,-33.1123945779","-70.8367534668,-33.1123949673","-70.8367425785,-33.1118719022","-70.8367689856,-33.1118715128",180.99892758613169,0.0024598740438434167
14,"-70.836697806025,-33.112134175","-70.8367055656,-33.1118724478","-70.8367164537,-33.1123955129","-70.8366900464,-33.1123959022","-70.8366791584,-33.1118728371",180.99888911588988,0.002459878478202282
15,"-70.83675024415001,-33.11160566715","-70.8367688918,-33.1118670051","-70.8367424846,-33.1118673944","-70.8367315966,-33.1113443292","-70.8367580036,-33.1113439399",180.99890544819212,0.0024598793032944285
