name,point,polyP1,polyP2,polyP3,polyP4,yaw,ancho
1,"-70.821019045225,-33.122357203049994","-70.8210376502,-33.1226185444","-70.8210112396,-33.1226189305","-70.8210004403,-33.1220958617","-70.8210268508,-33.1220954756",180.9906369311389,0.002459893309704775
2,"-70.82095561707501,-33.1223581303","-70.8209634228,-33.1220964028","-70.8209742219,-33.1226194717","-70.8209478112,-33.1226198578","-70.8209370124,-33.1220967889",180.99059421248822,0.0024598932843727093
3,"-70.82100815297501,-33.1218296264","-70.8210267577,-33.1220909678","-70.8210003473,-33.1220913539","-70.8209895483,-33.121568285","-70.8210159586,-33.1215678989",180.9906152196121,0.0024598894605385654
4,"-70.8209447252,-33.121830553575","-70.820952531,-33.1215688261","-70.8209633298,-33.122091895","-70.8209369193,-33.1220922811","-70.8209261207,-33.1215692121",180.99057693831463,0.0024598939939201644
5,"-70.820892188925,-33.122359057475","-70.8209107935,-33.1226203989","-70.8208843829,-33.1226207849","-70.8208735844,-33.1220977161","-70.8208999949,-33.12209733",180.99056334673537,0.0024598931607518167
6,"-70.8208287608,-33.122359984625","-70.8208365669,-33.1220982571","-70.8208473652,-33.1226213261","-70.8208209546,-33.1226217121","-70.8208101565,-33.1220986432",180.99052520784943,0.002459888479075735
7,"-70.820881297475,-33.121831480725","-70.8208999018,-33.1220928222","-70.8208734914,-33.1220932082","-70.8208626932,-33.1215701393","-70.8208891035,-33.1215697532",180.99054163536698,0.0024598893122440933
8,"-70.82081786970001,-33.121832407875004","-70.8208256759,-33.1215706804","-70.8208364739,-33.1220937493","-70.8208100634,-33.1220941354","-70.8207992656,-33.1215710664",180.99050367948726,0.0024598939413332972
9,"-70.82076533265,-33.12236091175","-70.8207839369,-33.1226222532","-70.8207575262,-33.1226226392","-70.8207467285,-33.1220995703","-70.820773139,-33.1220991843",180.9904943362509,0.0024598976674887925
10,"-70.820701904475,-33.122361838850004","-70.820709711,-33.1221001114","-70.8207205085,-33.1226231803","-70.8206940979,-33.1226235663","-70.8206833005,-33.1221004974",180.9904563873111,0.002459892986496231
11,"-70.820754441925,-33.121833335000005","-70.8207730459,-33.1220946765","-70.8207466355,-33.1220950625","-70.820735838,-33.1215719935","-70.8207622483,-33.1215716075",180.9904772044733,0.0024598891626418044
12,"-70.820691014125,-33.121834262075","-70.8206988207,-33.1215725346","-70.8207096179,-33.1220956035","-70.8206832075,-33.1220959896","-70.8206724104,-33.1215729206",180.99043500067495,0.0024598892343662593
13,"-70.82063847635,-33.1223627659","-70.8206570802,-33.1226241074","-70.8206306696,-33.1226244934","-70.8206198726,-33.1221014244","-70.820646283,-33.1221010384",180.9904300489631,0.002459888303513309
14,"-70.82057504817499,-33.1223636929","-70.8205828551,-33.1221019654","-70.8205936518,-33.1226250344","-70.8205672412,-33.1226254204","-70.8205564446,-33.1221023514",180.99038294002509,0.002459892933922228
15,"-70.82062758635001,-33.1218351891","-70.82064619,-33.1220965306","-70.8206197795,-33.1220969166","-70.8206089828,-33.1215738476","-70.8206353931,-33.1215734616",180.9904085203325,0.0024598937670903525
16,"-70.820564158575,-33.1218361161","-70.8205719655,-33.1215743886","-70.820582762,-33.1220974576","-70.8205563516,-33.1220978436","-70.8205455552,-33.1215747746",180.9903705718982,0.0024598890847638572
17,"-70.8206166967,-33.12130761225","-70.8206353001,-33.1215689538","-70.8206088898,-33.1215693398","-70.8205980934,-33.1210462707","-70.8206245035,-33.1210458847",180.99038680663742,0.0024598899175216392
